County,% That Had a Fever or Malaria,Malaria cases per 100k people,Poverty Rate,Physicians Density,% That Slept Under a Bed Net,Health Spending Per Person,Number of Facilities,HIV prevalence,Population
BARINGO,0.149,28051,0.585,5,0.242,29,115,0.03,632588
BOMET,0.395,19962,0.507,2,0.263,20,77,0.058,824347
BUNGOMA,0.376,24506,0.522,4,0.278,20,88,0.032,1750634
BUSIA,0.428,77510,0.66,6,0.407,20,81,0.068,523875
ELGEYO MARAKWET,0.094,25528,0.552,5,0.075,48,79,0.025,421282
EMBU,0.398,34122,0.408,11,0.218,34,108,0.037,543158
GARISSA,0.466,4769,0.545,10,0.384,37,61,0.021,
HOMA BAY,0.583,44668,0.431,4,0.396,24,125,0.257,1053465
ISIOLO,0.337,29850,0.631,10,0.426,42,43,0.042,150817
KAJIADO,0.123,20442,0.121,2,0.304,15,115,0.044,782409
KAKAMEGA,0.379,37295,0.521,5,0.267,23,219,0.059,1782152
KERICHO,0.516,29122,0.392,7,0.338,11,126,0.034,863222
KIAMBU,0.228,4457,0.254,11,0.145,20,166,0.038,1760692
KILIFI,0.454,20297,0.669,5,0.385,26,208,0.044,1262127
KIRINYAGA,0.432,6723,0.256,6,0.3,18,83,0.033,572889
KISII,0.49,23205,0.598,6,0.378,26,184,0.08,1259489
KISUMU,0.456,41752,0.45,10,0.624,29,108,0.193,1059053
KITUI,0.505,30126,0.625,4,0.13,46,126,0.043,1065329
KWALE,0.377,30166,0.729,1,0.321,31,92,0.057,739435
LAIKIPIA,0.149,12164,0.481,7,0.123,29,52,0.037,454412
LAMU,0.633,24403,0.306,5,0.513,50,32,0.023,115520
MACHAKOS,0.409,16459,0.57,7,0.317,16,122,0.05,1155957
MAKUENI,0.511,22042,0.638,4,0.108,15,191,0.056,930630
MANDERA,0.352,2495,0.857,0,0.046,20,16,0.017,1025756
MARSABIT,0.44,8952,0.793,6,0.111,46,45,0.012,306471
MERU,0.426,32549,0.275,8,0.24,22,189,0.03,1427135
MIGORI,0.63,40440,0.458,1,0.401,23,92,0.147,1002499
MOMBASA,0.48,16609,0.376,11,0.506,11,129,0.074,1068307
MURANGA,0.362,2824,0.307,4,0.114,22,171,0.052,1022427
NAIROBI,0.377,4601,0.22,20,0.38,7,170,0.068,3781394
NAKURU,0,20639,0.418,8,0.098,11,181,0.053,1825229
NANDI,0.509,31012,0.472,1,0.189,23,93,0.037,857207
NAROK,0.558,12230,0.337,4,0.129,7,133,0.05,968390
NYAMIRA,0.389,17722,0.463,1,0.409,22,68,0.064,653914
NYANDARUA,0.144,5281,0.498,6,0.017,17,67,0.038,646876
NYERI,0.134,543,0.324,15,0.057,39,141,0.043,752469
SAMBURU,0.371,18461,0.777,3,0.032,34,47,0.05,254997
SIAYA,0.544,57462,0.356,2,0.467,22,112,0.237,920671
TAITA TAVETA,0.488,57462,0.548,2,0.308,48,58,0.061,323867
TANA RIVER,0.633,15243,0.754,2,0.451,19,60,0.01,273205
THARAKA,0.338,52833,0.369,2,0.413,18,66,0.043,384379
TRANS NZOIA,0.348,18053,0.501,5,0.23,8,81,0.051,932223
TURKANA,0.554,18923,0.929,1,0.06,14,80,0.076,855399
UASIN GISHU,0.434,23028,0.446,8,0.336,13,80,0.043,1017723
VIHIGA,0.334,36704,0.413,4,0.285,10,78,0.038,595301
WAJIR,0.548,5125,0.844,1,0.183,21,39,0.002,434524
WEST POKOT,0.604,24880,0.687,1.57,0.159,24,58,0.028,583767
